video_id,title,published_at,duration_seconds,view_count,like_count,comment_count,tags,description,thumbnail_url
QnriN_YuTsE,escape room prank,2023-09-24T00:40:27Z,17,27955348,1556076,5560,,,https://i.ytimg.com/vi/QnriN_YuTsE/maxresdefault.jpg
nfVbyovlmFE,THIS IS INSANE 🤣,2024-04-22T00:45:12Z,29,26991140,1388193,25861,,,https://i.ytimg.com/vi/nfVbyovlmFE/maxresdefault.jpg
P8DJyGsb_HM,Another squid game roblox fail 😭,2025-02-01T19:09:23Z,32,26353483,1162378,5331,,,https://i.ytimg.com/vi/P8DJyGsb_HM/maxresdefault.jpg
GJIMsZU7OKY,sleep vid fail,2023-08-02T19:52:56Z,23,26175034,1325306,19462,Shorts|Latest tiktok|TikTok|Best videos|YouTube shorts|Shorts on YouTube|Shorts beta|TikTok best|Shorts viral|Trending|For you|Viral|Viral videos|Explore|Popular videos|Compilation|#shorts|Short videos|Nice|Best|TikTok compilation|Arbys|h1t1,,https://i.ytimg.com/vi/GJIMsZU7OKY/maxresdefault.jpg
ClDboAH8hx4,HE ACTUALLY DID IT 💀,2024-04-12T02:14:40Z,25,26061370,1500723,37053,,,https://i.ytimg.com/vi/ClDboAH8hx4/maxresdefault.jpg
9o8ChqZ5APc,grilled ice cubes trend 😭,2023-09-14T01:01:06Z,20,25970965,1203864,14134,,,https://i.ytimg.com/vi/9o8ChqZ5APc/maxresdefault.jpg
jshhcG91grQ,correcting a facebook karen,2023-08-18T22:08:43Z,15,25550316,1294995,15665,,,https://i.ytimg.com/vi/jshhcG91grQ/maxresdefault.jpg
hNmtBjUJses,mcdonald’s order spotify playlist,2023-12-04T21:35:30Z,23,25023942,1437779,4297,,,https://i.ytimg.com/vi/hNmtBjUJses/maxresdefault.jpg
WpOH2CwdO24,tiktok comment fail 🥰,2023-10-17T20:09:31Z,24,24873667,1358872,36293,,,https://i.ytimg.com/vi/WpOH2CwdO24/maxresdefault.jpg
bd1USStWsGA,messi did WHAT?,2023-07-19T13:31:46Z,15,24846595,1169714,8593,,,https://i.ytimg.com/vi/bd1USStWsGA/maxresdefault.jpg
uDLVIt2RxZc,this will get ugly,2024-05-25T16:18:34Z,15,24817991,786057,309787,,,https://i.ytimg.com/vi/uDLVIt2RxZc/maxresdefault.jpg
29Z2lkpSbsA,worst ASMR video ever,2023-09-04T03:27:28Z,25,24730639,1088068,30860,,,https://i.ytimg.com/vi/29Z2lkpSbsA/maxresdefault.jpg
zxeUETV9uis,MrBeast challenge 3 years later 🤔,2024-08-10T01:11:15Z,17,24405816,1124631,9680,,,https://i.ytimg.com/vi/zxeUETV9uis/maxresdefault.jpg
